DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150101 58 41 67 24 1.1 50 44 4 1
20150102 69 51 80 31 1.3 60 38 5 1
20150103 197 148 193 67 3.2 101 14 6 1
20150104 224 174 225 75 3.7 120 22 7 0
20150105 139 107 156 57 2.9 70 67 1 0
20150106 51 34 51 22 0.8 40 65 2 0
20150107 84 62 89 38 1.8 64 27 3 0
20150108 163 124 151 49 3 92 11 4 0
20150109 98 73 93 32 1.6 61 55 5 0
20150110 195 147 174 55 2.8 94 32 6 1
20150111 53 37 55 18 0.9 47 44 7 1
20150112 153 117 146 43 2.2 72 25 1 0
20150113 206 156 183 54 2.8 92 14 2 0
20150114 264 214 251 54 3.1 100 6 3 0
20150115 378 328 375 34 4.7 111 6 4 0
20150116 146 112 120 9 1.6 42 63 5 0
20150117 81 60 71 30 1.2 57 51 6 1
20150118 92 68 110 30 1.5 52 69 7 1
20150119 62 43 74 25 1.3 59 64 1 0
20150120 111 84 108 44 2 74 23 2 0
20150121 31 19 23 16 0.6 32 62 3 0
20150122 128 98 121 39 2 80 26 4 0
20150123 256 206 233 61 3.6 121 13 5 0
20150124 126 96 145 33 2 70 26 6 1
20150125 178 134 100 16 1.7 61 25 7 1
20150126 134 102 106 11 1.7 43 59 1 0
20150127 28 17 28 14 0.6 29 56 2 0
20150128 52 37 47 21 1 49 41 3 0
20150129 85 63 77 22 1.2 41 61 4 0
20150130 32 12 21 12 0.5 26 63 5 0
20150131 42 30 42 19 0.8 43 49 6 1
