DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140601 164 44 55 2 0.6 26 229 7 1
20140602 93 26 43 2 0.4 26 152 1 1
20140603 117 33 61 13 0.6 41 179 2 0
20140604 123 53 89 9 0.8 45 185 3 0
20140605 143 58 93 11 0.8 41 207 4 0
20140606 67 49 71 12 1.1 39 75 5 0
20140607 50 9 26 2 0.3 27 100 6 1
20140608 63 27 58 7 0.7 54 116 7 1
20140609 82 27 53 6 0.6 43 138 1 0
20140610 89 67 85 6 1.2 42 115 2 0
20140611 71 40 41 3 0.7 32 125 3 0
20140612 86 24 56 6 0.5 39 143 4 0
20140613 117 48 84 8 0.9 41 179 5 0
20140614 159 38 68 3 0.6 38 224 6 1
20140615 176 101 145 14 1.2 49 241 7 1
20140616 165 126 149 3 1 41 203 1 0
20140617 116 88 107 3 0.9 35 170 2 0
20140618 115 61 72 4 0.7 36 176 3 0
20140619 158 121 132 5 1.2 45 159 4 0
20140620 86 44 38 2 0.8 27 143 5 0
20140621 95 65 63 5 1 34 154 6 1
20140622 89 29 41 2 0.6 31 147 7 1
20140623 111 23 44 2 0.5 38 172 1 0
20140624 158 49 87 6 0.7 52 223 2 0
20140625 134 102 125 10 1.2 48 170 3 0
20140626 167 127 51 4 1.1 33 207 4 0
20140627 74 19 40 3 0.4 34 129 5 0
20140628 67 19 45 5 0.4 42 120 6 1
20140629 154 42 84 11 1 52 219 7 1
20140630 179 73 120 15 1.2 53 244 1 0
