DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150401 80 59 78 5 0.7 49 79 3 0
20150402 50 35 19 4 0.7 26 88 4 0
20150403 62 28 40 4 0.6 27 114 5 0
20150404 84 62 75 5 0.6 36 134 6 1
20150405 74 53 99 3 0.5 30 104 7 1
20150406 38 20 32 2 0.3 14 76 1 1
20150407 45 23 39 4 0.3 23 89 2 0
20150408 126 96 123 12 0.8 49 99 3 0
20150409 212 162 190 17 1.2 59 120 4 0
20150410 200 150 186 9 1.1 62 126 5 0
20150411 188 141 77 16 1.7 46 130 6 1
20150412 44 12 26 2 0.3 12 87 7 1
20150413 67 26 39 3 0.4 22 120 1 0
20150414 74 54 84 5 0.7 54 114 2 0
20150415 168 109 286 14 0.9 70 101 3 0
20150416 91 26 132 3 0.2 13 95 4 0
20150417 112 67 173 16 0.7 55 100 5 0
20150418 182 138 273 27 1.5 89 99 6 1
20150419 91 60 133 6 0.6 30 100 7 1
20150420 90 67 112 7 0.8 43 127 1 0
20150421 90 63 129 8 0.6 44 111 2 0
20150422 84 43 100 8 0.6 49 141 3 0
20150423 79 54 108 11 0.6 49 115 4 0
20150424 103 52 155 7 0.6 47 139 5 0
20150425 115 72 158 12 0.8 64 177 6 1
20150426 161 98 182 20 1 53 226 7 1
20150427 114 81 134 12 0.9 46 175 1 0
20150428 78 43 68 5 0.7 39 134 2 0
20150429 150 115 136 11 1.3 48 196 3 0
20150430 149 114 146 11 1.1 43 209 4 0
