DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170701 191 90 137 5 1 42 256 6 1
20170702 181 88 111 7 1 33 246 7 1
20170703 120 60 78 3 0.8 30 182 1 0
20170704 94 47 63 3 0.8 39 152 2 0
20170705 134 80 87 3 1 37 197 3 0
20170706 94 70 82 4 1.4 32 92 4 0
20170707 113 32 55 3 0.7 20 174 5 0
20170708 156 42 72 2 0.7 31 221 6 1
20170709 169 73 101 3 1 29 234 7 1
20170710 132 25 57 2 0.5 34 195 1 0
20170711 205 48 94 4 0.8 44 288 2 0
20170712 186 73 131 4 0.9 39 251 3 0
20170713 130 61 93 4 0.8 23 193 4 0
20170714 125 34 71 3 0.7 34 187 5 0
20170715 94 36 53 2 0.9 27 152 6 1
20170716 169 67 88 3 1.2 34 234 7 1
20170717 118 54 71 3 1 29 179 1 0
20170718 87 60 92 3 0.9 27 144 2 0
20170719 107 74 86 2 0.8 25 167 3 0
20170720 128 97 115 2 0.8 31 170 4 0
20170721 50 22 26 2 0.7 27 99 5 0
20170722 40 23 40 2 0.6 31 76 6 1
20170723 62 44 64 2 0.7 39 104 7 1
20170724 57 40 55 2 0.8 41 44 1 0
20170725 80 32 53 4 0.8 34 135 2 0
20170726 42 23 41 2 0.7 32 84 3 0
20170727 62 41 67 3 0.9 49 106 4 0
20170728 69 28 61 2 0.7 44 122 5 0
20170729 90 32 61 2 0.7 39 147 6 1
20170730 125 38 68 3 0.7 36 187 7 1
20170731 194 80 105 2 1 36 259 1 0
