DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160501 234 184 166 26 2.3 43 236 7 1
20160502 82 50 103 2 0.5 20 138 1 1
20160503 60 23 70 2 0.4 29 101 2 0
20160504 68 29 59 4 0.5 49 121 3 0
20160505 102 62 153 14 0.9 43 129 4 0
20160506 116 57 182 2 0.2 13 100 5 0
20160507 74 23 55 3 0.3 29 128 6 1
20160508 97 60 103 15 0.7 44 156 7 1
20160509 64 36 64 4 0.5 39 116 1 0
20160510 100 43 76 4 0.5 36 160 2 0
20160511 200 150 166 12 1.1 36 177 3 0
20160512 62 34 45 3 0.5 28 114 4 0
20160513 73 32 60 6 0.6 43 127 5 0
20160514 58 41 33 3 0.5 35 84 6 1
20160515 49 34 33 2 0.5 36 87 7 1
20160516 75 24 59 3 0.5 43 129 1 0
20160517 162 58 104 11 0.6 52 227 2 0
20160518 134 61 101 9 0.5 35 197 3 0
20160519 184 86 118 15 0.8 38 249 4 0
20160520 171 88 110 20 1.1 49 236 5 0
20160521 150 68 83 18 0.8 47 215 6 1
20160522 142 49 87 8 0.7 51 206 7 1
20160523 95 61 106 14 0.9 45 153 1 0
20160524 75 19 44 3 0.4 28 129 2 0
20160525 66 13 31 3 0.3 25 119 3 0
20160526 63 22 61 2 0.3 31 115 4 0
20160527 122 48 104 12 0.6 50 184 5 0
20160528 138 48 87 10 0.7 38 201 6 1
20160529 95 33 76 5 0.5 30 153 7 1
20160530 204 82 147 16 1.1 51 283 1 0
20160531 138 45 115 11 0.8 36 201 2 0
