DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20171101 99 64 100 3 1 79 29 3 0
20171102 72 51 86 6 0.9 57 55 4 0
20171103 39 8 29 2 0.4 31 61 5 0
20171104 69 37 64 5 0.8 55 44 6 1
20171105 133 101 119 7 1.3 71 36 7 1
20171106 202 152 165 5 1.5 71 53 1 0
20171107 107 80 71 3 0.9 44 64 2 0
20171108 65 20 47 6 0.8 52 29 3 0
20171109 79 52 93 6 1.4 63 20 4 0
20171110 37 7 37 2 0.3 15 57 5 0
20171111 47 18 39 4 0.4 37 36 6 1
20171112 80 56 93 6 1 64 14 7 1
20171113 60 26 69 3 0.6 30 61 1 0
20171114 34 10 30 3 0.5 27 61 2 0
20171115 48 16 39 3 0.5 38 58 3 0
20171116 92 58 88 10 1.3 73 19 4 0
20171117 54 22 58 4 0.6 31 64 5 0
20171118 57 40 63 7 0.6 36 59 6 1
20171119 120 91 120 8 1.3 74 17 7 1
20171120 138 105 133 10 1.8 85 28 1 0
20171121 152 116 160 12 1.8 86 47 2 0
20171122 33 7 33 3 0.3 18 61 3 0
20171123 30 7 30 3 0.4 21 54 4 0
20171124 51 21 51 7 0.6 35 50 5 0
20171125 74 39 79 8 1 59 26 6 1
20171126 33 12 31 3 0.4 26 61 7 1
20171127 94 70 97 10 1.4 72 13 1 0
20171128 63 37 75 4 0.8 38 64 2 0
20171129 45 14 36 4 0.5 36 43 3 0
20171130 55 26 53 7 0.7 44 58 4 0
