DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150216 159 121 156 31 2.3 54 69 1 0
20150217 41 22 41 10 0.5 28 77 2 0
20150218 64 46 57 18 0.7 31 80 3 1
20150219 268 218 248 55 1.5 42 60 4 1
20150220 183 138 29 9 1.4 38 53 5 1
20150221 202 152 172 9 1.6 32 69 6 1
20150222 163 42 277 4 0.4 14 73 7 1
20150223 82 55 114 21 0.8 34 67 1 1
20150224 203 153 213 34 2.1 59 55 2 1
20150225 103 77 110 10 1.1 32 80 3 0
20150226 39 13 26 6 0.4 18 77 4 0
20150227 37 23 37 13 0.7 30 58 5 0
20150228 162 123 126 8 1.3 40 33 6 0
