DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170506 74 33 97 3 0.4 37 112 6 1
20170507 82 28 78 5 0.4 41 138 7 1
20170508 102 56 114 8 0.6 55 162 1 0
20170509 100 44 97 7 0.5 26 160 2 0
20170510 79 39 75 4 0.5 32 134 3 0
20170511 92 30 134 3 0.3 32 98 4 0
20170512 109 45 168 5 0.4 26 142 5 0
20170513 63 19 76 2 0.3 18 90 6 1
20170514 68 12 38 2 0.3 16 121 7 1
20170515 80 22 65 7 0.6 26 136 1 0
20170516 127 43 91 10 0.6 31 189 2 0
20170517 184 63 121 9 0.7 37 249 3 0
20170518 201 81 147 11 0.8 51 270 4 0
20170519 185 82 153 9 0.8 40 250 5 0
20170520 169 57 128 9 0.7 38 234 6 1
20170521 113 56 93 15 0.9 27 174 7 1
20170522 54 37 58 7 1.1 37 52 1 0
20170523 70 19 40 3 0.4 36 123 2 0
20170524 82 17 55 4 0.4 46 138 3 0
20170525 100 21 84 6 0.6 39 160 4 0
20170526 149 46 98 9 0.6 51 213 5 0
20170527 191 69 121 21 1.3 47 256 6 0
20170528 187 88 140 17 1.4 36 252 7 1
20170529 70 28 89 8 0.7 26 108 1 1
20170530 99 42 72 3 0.7 39 158 2 1
20170531 140 65 106 4 0.8 45 203 3 0
