DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20141219 52 31 54 14 1 33 61 5 0
20141220 24 9 17 10 0.5 24 47 6 1
20141221 36 15 36 13 0.6 30 48 7 1
20141222 93 69 114 39 2.1 74 28 1 0
20141223 98 73 110 49 2.4 77 22 2 0
20141224 31 12 31 17 0.5 32 57 3 0
20141225 43 27 43 22 1 53 53 4 0
20141226 150 115 155 58 3 92 15 5 0
20141227 240 190 236 70 4.1 125 9 6 1
20141228 158 121 186 51 2.8 91 45 7 1
20141229 126 96 165 41 2.8 83 42 1 0
20141230 55 24 61 22 1 51 41 2 0
20141231 46 6 46 7 0.3 12 57 3 0
