DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160701 82 14 32 2 0.4 25 138 5 0
20160702 119 47 71 3 0.7 38 180 6 1
20160703 137 83 108 8 1 43 200 7 1
20160704 173 131 110 5 1.2 32 216 1 0
20160705 161 96 104 5 1 30 226 2 0
20160706 155 74 106 5 0.9 35 220 3 0
20160707 177 110 125 8 1.2 33 242 4 0
20160708 146 91 104 5 1.2 34 210 5 0
20160709 143 83 93 4 0.8 32 207 6 1
20160710 137 91 86 4 0.8 28 200 7 1
20160711 129 86 98 7 0.7 29 191 1 0
20160712 52 29 54 4 0.6 29 94 2 0
20160713 112 20 43 3 0.5 32 173 3 0
20160714 80 35 0 4 0.8 42 135 4 0
20160715 52 36 40 2 0.7 30 77 5 0
20160716 54 38 53 3 0.8 40 82 6 1
20160717 154 79 97 3 1.1 42 219 7 1
20160718 139 106 130 4 1.3 52 137 1 0
20160719 133 101 0 2 1.3 44 53 2 0
20160720 48 33 7 2 0.7 18 57 3 0
20160721 40 28 39 2 0.8 27 53 4 0
20160722 100 75 81 2 1.1 32 154 5 0
20160723 158 120 174 2 1.2 34 180 6 1
20160724 131 73 118 3 0.9 34 194 7 1
20160725 57 40 38 3 0.8 29 108 1 0
20160726 93 21 48 3 0.6 24 151 2 0
20160727 168 47 0 2 0.7 35 233 3 0
20160728 128 50 81 2 0.7 31 190 4 0
20160729 158 120 139 2 1.3 30 217 5 0
20160730 170 129 48 2 1.6 32 87 6 1
20160731 77 56 82 2 1 32 102 7 1
