DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140304 77 57 78 27 1.3 40 74 2 0
20140305 35 20 35 16 0.8 35 66 3 0
20140306 39 16 28 14 0.6 29 77 4 0
20140307 66 48 72 26 1.1 53 65 5 0
20140308 172 131 166 68 2.3 92 38 6 1
20140309 124 94 118 45 1.6 68 72 7 1
20140310 107 81 101 53 1.7 72 45 1 0
20140311 205 155 196 76 2.4 80 68 2 0
20140312 41 11 23 9 0.4 26 82 3 0
20140313 62 20 75 14 0.6 37 77 4 0
20140314 64 21 79 13 0.5 31 86 5 0
20140315 124 94 173 43 1.5 89 61 6 1
20140316 148 113 198 76 2.1 72 97 7 1
20140317 145 83 241 27 1.2 50 82 1 0
20140318 87 37 124 17 0.6 36 91 2 0
20140319 72 46 93 17 0.8 46 78 3 0
20140320 44 10 27 5 0.4 23 87 4 0
20140321 57 25 64 11 0.6 43 92 5 0
20140322 82 47 115 16 0.8 53 96 6 1
20140323 177 134 183 44 1.6 69 146 7 1
20140324 270 220 249 53 2 93 115 1 0
20140325 250 200 237 43 1.6 92 159 2 0
20140326 319 269 318 43 2 111 137 3 0
20140327 299 249 300 34 2.4 107 86 4 0
20140328 168 128 171 25 1.7 66 90 5 0
20140329 63 39 76 7 0.6 37 95 6 1
20140330 64 31 78 8 0.5 58 92 7 1
20140331 176 133 183 35 1.8 81 89 1 0
