DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150801 90 67 72 3 1.3 47 100 6 1
20150802 102 74 88 2 1.2 27 162 7 1
20150803 82 60 33 4 1.1 33 101 1 0
20150804 110 21 54 4 0.5 32 171 2 0
20150805 127 64 102 3 1 40 189 3 0
20150806 119 58 95 2 0.8 31 180 4 0
20150807 119 90 0 4 1.1 33 167 5 0
20150808 110 40 72 3 0.7 34 171 6 1
20150809 152 53 85 3 0.8 37 217 7 1
20150810 112 42 80 2 0.7 38 173 1 0
20150811 175 91 128 6 1.4 36 240 2 0
20150812 161 81 129 4 1 36 226 3 0
20150813 202 120 160 7 1.3 41 275 4 0
20150814 119 58 95 4 0.8 35 180 5 0
20150815 80 22 54 3 0.6 36 135 6 1
20150816 201 38 89 6 0.7 40 270 7 1
20150817 145 80 161 8 1 40 209 1 0
20150818 90 48 82 3 0.8 34 147 2 0
20150819 97 51 65 2 0.8 38 156 3 0
20150820 100 33 51 2 0.6 26 160 4 0
20150821 94 14 37 2 0.4 25 152 5 0
20150822 56 17 38 4 0.6 20 107 6 1
20150823 53 21 33 4 0.8 23 103 7 1
20150824 55 13 28 2 0.5 22 106 1 0
20150825 50 14 27 2 0.5 23 99 2 0
20150826 61 12 27 2 0.4 23 113 3 0
20150827 60 12 26 2 0.4 25 111 4 0
20150828 70 16 38 3 0.5 24 124 5 0
20150829 118 28 48 2 0.6 21 179 6 1
20150830 74 28 32 2 0.9 25 128 7 1
20150831 37 25 29 2 0.7 25 73 1 0
