DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140901 125 95 83 3 1.6 45 95 1 0
20140902 43 20 15 2 0.8 31 85 2 0
20140903 58 15 35 5 0.6 38 110 3 0
20140904 98 40 91 5 0.8 61 158 4 0
20140905 141 86 138 9 1 51 205 5 0
20140906 183 138 161 12 1.4 39 185 6 1
20140907 200 150 182 10 1.3 44 168 7 1
20140908 73 14 30 4 0.3 24 128 1 1
20140909 108 36 83 5 0.6 49 169 2 0
20140910 109 63 111 11 1.1 57 170 3 0
20140911 109 82 124 16 1.4 64 109 4 0
20140912 97 73 54 4 1 51 84 5 0
20140913 92 67 96 7 0.8 49 150 6 1
20140914 66 42 77 3 0.5 48 119 7 1
20140915 48 18 48 5 0.4 36 80 1 0
20140916 70 38 91 5 0.6 66 52 2 0
20140917 70 51 88 4 0.7 61 57 3 0
20140918 84 62 94 4 0.7 59 130 4 0
20140919 111 84 119 7 0.9 60 121 5 0
20140920 158 120 124 5 1.2 53 162 6 1
20140921 131 100 119 15 1.7 46 111 7 1
20140922 123 94 108 11 2 59 93 1 0
20140923 66 48 22 2 1.1 40 19 2 0
20140924 48 34 40 2 0.8 45 78 3 0
20140925 140 107 130 3 1.3 53 59 4 0
20140926 163 124 103 9 1.6 62 50 5 0
20140927 43 30 36 3 0.6 42 81 6 1
20140928 78 56 107 8 1.2 67 46 7 1
20140929 70 51 77 4 0.9 38 65 1 0
20140930 51 24 52 7 0.6 39 41 2 0
