DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20171001 92 68 76 2 0.7 49 93 7 1
20171002 45 13 45 4 0.5 35 37 1 1
20171003 44 16 41 2 0.4 35 51 2 1
20171004 56 30 62 5 0.6 40 69 3 1
20171005 75 55 79 5 0.7 41 85 4 1
20171006 90 67 90 6 0.8 50 87 5 1
20171007 149 114 127 3 1.1 75 14 6 1
20171008 163 124 122 3 1.2 68 8 7 1
20171009 40 28 10 3 0.6 30 35 1 0
20171010 25 6 11 4 0.4 20 40 2 0
20171011 37 11 23 3 0.4 29 42 3 0
20171012 50 21 38 3 0.5 40 38 4 0
20171013 63 38 55 2 0.8 50 49 5 0
20171014 54 15 34 3 0.6 43 24 6 1
20171015 69 50 71 3 1 42 45 7 1
20171016 57 40 60 4 0.9 42 56 1 0
20171017 93 69 80 3 1.2 49 47 2 0
20171018 90 67 58 3 1.2 46 26 3 0
20171019 77 56 52 2 1.2 38 54 4 0
20171020 129 98 96 2 1.4 48 55 5 0
20171021 97 72 66 3 1.3 38 69 6 1
20171022 57 39 58 4 1 45 25 7 1
20171023 52 36 47 2 0.6 39 50 1 0
20171024 94 70 69 3 1 47 63 2 0
20171025 144 110 104 3 1.3 56 34 3 0
20171026 202 152 132 3 1.6 69 24 4 0
20171027 220 170 146 3 1.6 68 44 5 0
20171028 59 42 38 2 0.6 26 55 6 1
20171029 35 8 25 3 0.4 28 56 7 1
20171030 59 18 44 4 0.5 47 43 1 0
20171031 92 62 106 5 1 73 9 2 0
