DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170401 69 31 78 7 0.6 55 86 6 0
20170402 93 68 113 14 1.1 74 96 7 1
20170403 165 125 172 21 1.2 78 154 1 1
20170404 163 124 149 19 1.1 60 100 2 1
20170405 83 61 76 5 0.6 29 128 3 0
20170406 129 98 134 6 0.9 45 125 4 0
20170407 102 76 123 8 0.8 48 74 5 0
20170408 104 78 138 7 1 63 60 6 1
20170409 87 64 104 7 0.9 47 95 7 1
20170410 89 66 120 9 0.7 59 91 1 0
20170411 59 27 68 4 0.4 34 95 2 0
20170412 71 29 92 5 0.6 52 93 3 0
20170413 92 54 134 14 1.1 66 76 4 0
20170414 93 59 136 6 0.9 67 98 5 0
20170415 71 36 92 5 0.5 52 117 6 1
20170416 128 97 178 17 1 72 107 7 1
20170417 162 123 219 8 0.9 56 94 1 0
20170418 66 24 82 2 0.3 22 97 2 0
20170419 89 44 119 7 0.8 71 35 3 0
20170420 70 37 90 3 0.7 44 89 4 0
20170421 57 19 63 2 0.3 23 102 5 0
20170422 87 45 124 8 0.5 44 120 6 1
20170423 63 24 76 4 0.4 24 113 7 1
20170424 67 34 84 5 0.5 31 111 1 0
20170425 41 13 41 3 0.3 26 76 2 0
20170426 52 14 41 3 0.3 30 102 3 0
20170427 55 15 50 2 0.3 35 105 4 0
20170428 63 23 68 3 0.4 39 115 5 0
20170429 79 40 107 3 0.4 43 124 6 1
20170430 108 50 165 5 0.5 44 136 7 1
