DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20161101 69 45 74 9 0.7 55 37 2 0
20161102 140 107 149 10 1.5 82 23 3 0
20161103 243 193 241 9 2.6 104 11 4 0
20161104 292 242 271 6 3.4 119 12 5 0
20161105 230 180 203 5 3.1 95 36 6 1
20161106 95 71 97 10 1.2 56 40 7 1
20161107 53 37 43 3 0.8 39 50 1 0
20161108 67 39 71 7 0.8 53 36 2 0
20161109 208 158 194 14 2.5 86 5 3 0
20161110 199 149 178 8 1.8 70 15 4 0
20161111 110 83 124 7 1.7 65 16 5 0
20161112 100 75 124 10 1.5 66 28 6 1
20161113 132 100 165 11 2.3 72 4 7 1
20161114 62 39 73 4 0.9 35 61 1 0
20161115 79 45 84 13 1.5 63 23 2 0
20161116 132 100 147 16 2.2 80 21 3 0
20161117 149 114 165 22 2.5 70 6 4 0
20161118 242 192 280 19 3.7 87 3 5 0
20161119 165 125 133 9 1.8 65 49 6 1
20161120 70 51 0 4 1.1 41 25 7 1
20161121 30 10 21 3 0.4 15 60 1 0
20161122 28 8 21 4 0.4 21 55 2 0
20161123 44 19 33 8 0.6 35 43 3 0
20161124 102 76 107 18 1.5 70 25 4 0
20161125 214 164 205 24 2.6 97 8 5 0
20161126 315 265 361 22 3.5 117 13 6 1
20161127 68 49 80 7 0.9 45 58 7 1
20161128 97 63 101 18 1.7 77 16 1 0
20161129 129 98 146 26 2.6 81 4 2 0
20161130 117 88 128 15 2.1 67 53 3 0
