DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140501 159 121 186 19 0.8 41 161 4 1
20140502 48 23 46 3 0.3 21 95 5 1
20140503 89 38 127 6 0.4 43 93 6 1
20140504 55 26 59 3 0.3 17 87 7 0
20140505 51 23 53 4 0.4 36 99 1 0
20140506 99 74 124 27 0.9 61 117 2 0
20140507 85 63 102 12 0.9 45 103 3 0
20140508 99 74 107 16 1 46 157 4 0
20140509 83 61 106 33 1.3 52 119 5 0
20140510 69 50 87 27 1.2 50 107 6 1
20140511 46 24 20 3 0.8 29 92 7 1
20140512 77 34 68 7 0.6 44 132 1 0
20140513 87 52 124 10 0.7 57 109 2 0
20140514 56 17 63 7 0.3 26 94 3 0
20140515 115 59 181 7 0.5 61 107 4 0
20140516 86 45 121 10 0.6 49 128 5 0
20140517 122 56 120 25 1 60 184 6 1
20140518 171 77 142 23 0.9 56 236 7 1
20140519 145 106 158 15 1 45 210 1 0
20140520 105 79 130 9 0.9 46 157 2 0
20140521 169 107 168 25 1.5 53 234 3 0
20140522 180 136 196 37 1.4 61 202 4 0
20140523 140 81 156 20 0.8 55 204 5 0
20140524 101 76 80 6 1 46 143 6 1
20140525 88 65 114 2 0.7 29 95 7 1
20140526 76 22 77 5 0.4 55 131 1 0
20140527 97 35 145 4 0.4 42 103 2 0
20140528 115 30 87 8 0.6 55 176 3 0
20140529 119 42 115 10 0.7 60 181 4 0
20140530 205 84 171 37 1.6 53 294 5 0
20140531 195 114 215 45 2.1 58 260 6 1
