DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140701 117 89 136 17 1 49 160 2 0
20140702 77 55 57 3 0.9 28 132 3 0
20140703 240 190 103 5 1.3 40 164 4 0
20140704 238 188 128 4 1.3 40 199 5 0
20140705 163 124 100 4 1.1 38 188 6 1
20140706 252 202 155 8 1.4 36 206 7 1
20140707 215 165 185 9 1.2 41 195 1 0
20140708 138 106 123 9 0.9 40 154 2 0
20140709 60 25 69 6 0.6 55 107 3 0
20140710 113 27 80 8 0.5 40 174 4 0
20140711 81 28 67 5 0.5 40 137 5 0
20140712 78 12 35 2 0.3 31 134 6 1
20140713 63 16 52 3 0.4 40 115 7 1
20140714 154 26 64 4 0.5 43 219 1 0
20140715 140 50 106 7 0.6 28 204 2 0
20140716 114 86 111 4 0.8 42 170 3 0
20140717 175 132 135 4 1.8 41 139 4 0
20140718 188 142 107 7 1.7 38 209 5 0
20140719 109 82 102 3 0.8 33 168 6 1
20140720 118 67 91 4 0.7 26 180 7 1
20140721 83 26 43 5 0.5 24 140 1 0
20140722 39 12 37 7 0.5 40 78 2 0
20140723 62 26 74 6 0.7 59 84 3 0
20140724 82 61 112 6 1 68 110 4 0
20140725 133 64 91 7 1.2 43 196 5 0
20140726 192 94 135 10 1.2 41 257 6 1
20140727 197 107 154 18 1 35 262 7 1
20140728 160 122 156 9 0.9 33 218 1 0
20140729 165 125 149 5 0.8 28 191 2 0
20140730 157 120 68 3 1.4 28 170 3 0
20140731 245 195 76 3 1.6 36 209 4 0
