DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170301 47 8 41 3 0.3 13 93 3 0
20170302 68 40 80 13 0.9 54 68 4 0
20170303 109 82 142 23 1.4 68 59 5 0
20170304 115 87 111 26 1.6 74 81 6 1
20170305 42 12 33 4 0.4 19 84 7 1
20170306 45 16 45 6 0.6 34 80 1 0
20170307 40 7 24 3 0.3 15 80 2 0
20170308 45 10 30 3 0.4 24 90 3 0
20170309 49 13 35 4 0.5 39 82 4 0
20170310 80 34 66 12 0.8 64 85 5 0
20170311 66 44 81 15 0.8 48 87 6 1
20170312 44 7 28 3 0.3 13 87 7 1
20170313 44 11 30 5 0.4 32 87 1 0
20170314 54 21 52 8 0.6 43 85 2 0
20170315 88 65 97 22 1.1 69 76 3 0
20170316 148 113 156 25 1.3 87 80 4 0
20170317 163 124 167 19 1.1 71 77 5 0
20170318 195 146 179 16 1.2 68 135 6 1
20170319 272 222 248 33 2 81 145 7 1
20170320 180 136 196 19 1.4 73 60 1 0
20170321 115 87 122 7 0.8 47 98 2 0
20170322 179 135 174 19 1.3 80 74 3 0
20170323 159 121 116 6 1.6 59 54 4 0
20170324 82 60 0 2 1 49 49 5 0
20170325 49 34 29 3 0.8 35 83 6 1
20170326 45 12 28 3 0.3 23 90 7 1
20170327 45 17 37 3 0.4 35 90 1 0
20170328 82 60 95 9 0.6 51 101 2 0
20170329 148 113 140 11 0.9 64 106 3 0
20170330 114 86 134 16 1.2 56 82 4 0
20170331 48 20 48 4 0.4 34 89 5 0
