DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150501 165 125 141 13 1.1 45 171 5 1
20150502 88 45 68 3 0.6 30 145 6 1
20150503 72 40 94 2 0.4 24 113 7 1
20150504 66 23 65 4 0.3 20 119 1 0
20150505 72 43 94 7 0.5 37 114 2 0
20150506 60 19 70 3 0.3 24 100 3 0
20150507 89 42 129 6 0.6 37 119 4 0
20150508 83 52 115 11 1 37 119 5 0
20150509 55 39 52 7 1 33 100 6 1
20150510 49 34 35 4 1.3 46 46 7 1
20150511 42 24 20 2 0.8 30 84 1 0
20150512 54 19 44 2 0.5 41 105 2 0
20150513 98 57 133 4 0.8 66 158 3 0
20150514 57 20 62 5 0.3 29 108 4 0
20150515 67 23 47 3 0.4 26 120 5 0
20150516 116 46 96 8 0.7 43 178 6 1
20150517 166 126 182 15 1.2 43 165 7 1
20150518 75 55 93 3 0.5 33 105 1 0
20150519 49 11 49 2 0.3 16 93 2 0
20150520 63 16 37 2 0.3 22 116 3 0
20150521 91 33 84 6 0.5 43 149 4 0
20150522 137 52 89 12 0.8 41 201 5 0
20150523 179 95 139 16 1 53 244 6 1
20150524 178 115 164 16 1.2 56 243 7 1
20150525 203 101 166 24 1.2 47 281 1 0
20150526 191 87 149 19 0.9 38 256 2 0
20150527 160 92 141 11 0.9 33 225 3 0
20150528 151 116 151 23 1.2 36 197 4 0
20150529 104 61 94 5 0.8 42 164 5 0
20150530 136 54 90 6 0.8 39 200 6 1
20150531 153 55 102 15 0.9 44 218 7 1
