DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140801 200 150 128 3 1.3 35 198 5 0
20140802 163 124 132 3 1.1 39 220 6 1
20140803 145 111 139 2 1 39 174 7 1
20140804 46 31 43 3 0.6 36 92 1 0
20140805 81 24 50 5 0.6 37 137 2 0
20140806 57 31 64 3 0.6 46 106 3 0
20140807 160 62 92 10 1.1 45 225 4 0
20140808 138 64 103 8 1.1 45 202 5 0
20140809 144 80 123 9 1.1 40 208 6 1
20140810 125 32 49 3 0.6 33 187 7 1
20140811 80 24 48 3 0.5 40 136 1 0
20140812 115 25 58 6 0.6 45 177 2 0
20140813 80 26 35 2 0.6 34 136 3 0
20140814 103 29 44 4 0.6 39 163 4 0
20140815 105 35 69 4 0.6 49 166 5 0
20140816 157 55 92 6 0.9 49 222 6 1
20140817 125 53 88 5 0.8 32 187 7 1
20140818 136 57 84 6 0.8 38 200 1 0
20140819 150 84 119 6 1 40 215 2 0
20140820 166 104 146 14 1.1 41 231 3 0
20140821 167 126 169 9 1.1 49 232 4 0
20140822 108 51 80 3 0.8 58 169 5 0
20140823 153 107 137 5 1.1 55 218 6 1
20140824 93 17 38 4 0.4 27 151 7 1
20140825 57 16 42 4 0.4 36 108 1 0
20140826 75 23 66 5 0.5 56 130 2 0
20140827 135 47 107 8 0.7 59 198 3 0
20140828 103 77 119 7 0.9 54 135 4 0
20140829 98 74 82 4 1 35 158 5 0
20140830 170 129 148 4 1.5 58 115 6 1
20140831 86 64 49 2 1 30 137 7 1
