DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150301 70 45 90 12 0.9 39 76 7 1
20150302 73 53 82 17 1.4 44 74 1 0
20150303 48 8 48 2 0.3 10 76 2 0
20150304 41 24 41 12 0.6 31 73 3 0
20150305 144 110 129 47 1.6 59 65 4 0
20150306 245 195 217 59 2.1 82 57 5 0
20150307 281 231 246 41 2.4 83 92 6 1
20150308 169 129 148 22 1.4 53 79 7 1
20150309 40 7 28 3 0.3 14 79 1 0
20150310 45 30 45 13 0.8 39 78 2 0
20150311 52 37 52 13 1 46 75 3 0
20150312 83 61 79 21 1.2 60 60 4 0
20150313 86 64 82 21 1.3 60 80 5 0
20150314 127 97 119 40 1.9 83 42 6 1
20150315 135 103 198 26 1.7 73 93 7 1
20150316 257 207 295 33 2 85 67 1 0
20150317 233 183 222 16 1.7 57 102 2 0
20150318 69 47 89 12 0.8 50 82 3 0
20150319 127 81 203 11 1.1 69 72 4 0
20150320 124 44 199 6 0.5 46 98 5 0
20150321 77 19 103 4 0.3 28 87 6 1
20150322 77 20 104 4 0.3 21 87 7 1
20150323 67 34 84 7 0.7 43 89 1 0
20150324 102 77 122 29 1.8 68 88 2 0
20150325 161 123 158 41 1.8 79 107 3 0
20150326 138 105 155 21 1 56 138 4 0
20150327 138 83 115 18 0.8 55 128 5 0
20150328 163 64 277 8 0.5 33 109 6 1
20150329 166 75 282 17 1.1 67 111 7 1
20150330 197 148 338 29 1.4 63 129 1 0
20150331 202 152 191 21 2.3 54 107 2 0
