DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20151101 98 72 106 7 1 78 39 7 1
20151102 102 76 116 8 1.4 78 44 1 0
20151103 199 149 181 16 1.9 90 63 2 0
20151104 260 210 0 15 2 108 29 3 0
20151105 144 110 0 6 1 53 26 4 0
20151106 37 20 9 2 0.5 29 38 5 0
20151107 37 19 0 2 0.5 29 41 6 1
20151108 82 60 89 3 0.9 46 37 7 1
20151109 163 124 0 4 1.6 56 7 1 0
20151110 175 132 0 4 1.6 55 5 2 0
20151111 137 104 0 4 1.9 55 11 3 0
20151112 205 155 136 6 2.5 60 3 4 0
20151113 258 208 188 15 3.1 70 4 5 0
20151114 324 274 298 17 3.6 83 11 6 1
20151115 246 196 0 13 3.2 70 31 7 1
20151116 79 58 85 10 1.5 52 18 1 0
20151117 82 60 86 7 1.5 45 21 2 0
20151118 92 68 90 7 1.1 45 9 3 0
20151119 102 76 0 4 1.7 45 2 4 0
20151120 88 65 0 9 2.3 43 3 5 0
20151121 60 43 0 7 2.1 41 4 6 1
20151122 69 50 0 7 1 39 33 7 1
20151123 39 27 37 10 0.7 28 51 1 0
20151124 65 45 0 8 1.1 52 41 2 0
20151125 69 50 22 9 1.1 37 52 3 0
20151126 55 38 60 11 0.9 37 56 4 0
20151127 264 214 245 36 2.9 93 15 5 0
20151128 308 258 254 44 4 102 13 6 1
20151129 302 252 0 38 4.9 108 21 7 1
