DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20180201 67 30 83 11 0.8 39 70 4 0
20180202 37 8 29 5 0.4 12 74 5 0
20180203 36 8 20 5 0.4 22 71 6 1
20180204 44 19 37 9 0.6 35 60 7 1
20180205 37 7 18 3 0.3 17 73 1 0
20180206 72 44 58 14 0.9 57 46 2 0
20180207 50 32 50 9 0.7 35 83 3 0
20180208 73 52 82 12 1 58 54 4 0
20180209 79 40 108 9 0.7 35 81 5 0
20180210 43 10 43 4 0.4 13 81 6 1
20180211 66 9 82 5 0.3 7 80 7 0
20180212 52 12 54 6 0.4 17 79 1 0
20180213 80 59 81 14 1.2 62 55 2 0
20180214 40 13 34 4 0.4 19 80 3 0
20180215 73 53 68 13 0.6 24 87 4 1
20180216 105 79 102 15 0.6 26 93 5 1
20180217 110 83 94 12 1.4 38 54 6 1
20180218 152 116 119 16 1.9 50 88 7 1
20180219 188 141 128 26 2.2 46 76 1 1
20180220 64 46 43 7 0.7 23 92 2 1
20180221 48 33 43 7 0.6 29 88 3 1
20180222 46 17 46 6 0.5 31 82 4 0
20180223 53 23 55 6 0.6 32 86 5 0
20180224 62 30 74 11 0.7 23 71 6 0
20180225 82 60 74 11 0.9 47 72 7 1
20180226 165 125 130 22 1.7 75 94 1 0
20180227 219 169 180 13 2 56 72 2 0
20180228 117 88 125 10 1.1 37 80 3 0
