DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170601 120 23 58 5 0.6 30 181 4 0
20170602 56 22 62 11 1 38 69 5 0
20170603 81 29 58 5 0.7 38 137 6 1
20170604 138 48 93 11 0.6 51 201 7 1
20170605 146 65 117 16 0.9 61 210 1 0
20170606 53 37 50 2 0.5 25 94 2 0
20170607 93 47 57 3 0.6 32 151 3 0
20170608 72 25 56 3 0.6 57 116 4 0
20170609 145 29 91 5 0.6 51 209 5 0
20170610 80 21 70 11 0.8 34 136 6 1
20170611 120 33 86 7 0.7 49 181 7 1
20170612 87 35 80 17 1.1 45 144 1 0
20170613 90 41 68 5 0.8 44 147 2 0
20170614 120 37 65 3 0.7 48 182 3 0
20170615 156 38 94 3 0.7 56 221 4 0
20170616 158 59 129 7 0.6 41 223 5 0
20170617 199 82 159 11 0.9 36 264 6 1
20170618 187 70 130 11 0.8 31 252 7 1
20170619 151 37 74 3 0.6 27 216 1 0
20170620 155 31 64 4 0.6 27 220 2 0
20170621 156 48 99 8 0.9 28 221 3 0
20170622 52 33 0 2 0.8 25 102 4 0
20170623 51 19 0 2 0.7 20 101 5 0
20170624 65 21 40 3 0.5 23 117 6 1
20170625 103 26 46 2 0.5 33 163 7 1
20170626 131 24 49 2 0.5 39 194 1 0
20170627 198 70 104 7 0.8 40 263 2 0
20170628 183 97 129 8 1.2 43 248 3 0
20170629 138 56 89 6 0.8 31 201 4 0
20170630 194 71 114 3 0.8 39 259 5 0
