DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20171201 98 73 106 11 1.3 71 23 5 0
20171202 202 152 188 17 2.3 108 11 6 1
20171203 67 48 58 6 0.8 39 63 7 1
20171204 30 6 22 2 0.4 17 60 1 0
20171205 63 26 52 7 0.7 50 44 2 0
20171206 54 24 54 8 0.8 43 58 3 0
20171207 27 9 26 5 0.4 21 51 4 0
20171208 57 23 50 6 0.8 45 38 5 0
20171209 74 34 63 9 1 59 25 6 1
20171210 46 7 46 3 0.3 15 69 7 1
20171211 33 6 21 3 0.3 17 66 1 0
20171212 42 14 29 5 0.6 33 35 2 0
20171213 65 32 50 8 0.9 52 22 3 0
20171214 97 72 86 19 1.8 70 13 4 0
20171215 51 33 52 7 0.8 34 57 5 0
20171216 36 8 36 3 0.3 12 64 6 1
20171217 68 28 54 7 0.8 54 56 7 1
20171218 47 12 47 4 0.4 21 63 1 0
20171219 65 38 72 9 0.8 52 33 2 0
20171220 53 20 43 5 0.6 42 64 3 0
20171221 98 51 76 13 1.3 78 20 4 0
20171222 72 36 62 9 1.1 57 62 5 0
20171223 79 32 58 11 1 63 19 6 1
20171224 49 13 49 4 0.4 16 73 7 1
20171225 62 31 51 10 0.7 49 43 1 0
20171226 59 23 43 7 0.7 47 47 2 0
20171227 99 74 85 11 1.5 71 15 3 0
20171228 143 109 123 13 1.9 70 19 4 0
20171229 225 175 192 6 2.9 86 11 5 0
20171230 145 111 77 5 2 62 52 6 1
20171231 64 33 67 6 0.9 51 35 7 1
