DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160901 39 8 31 3 0.3 31 72 4 0
20160902 39 12 34 2 0.4 31 56 5 0
20160903 86 21 45 2 0.5 35 143 6 1
20160904 106 79 0 5 1 44 166 7 1
20160905 54 28 58 2 0.5 33 94 1 0
20160906 0 0 0 0 0 0 0 2 0
20160907 87 40 65 5 0.7 41 144 3 0
20160908 55 23 46 2 0.6 44 105 4 0
20160909 53 18 39 3 0.5 42 68 5 0
20160910 54 17 44 3 0.5 43 92 6 1
20160911 65 32 48 2 0.8 29 117 7 1
20160912 72 34 51 2 0.8 38 126 1 0
20160913 118 89 98 3 1.1 53 137 2 0
20160914 130 99 102 4 1.1 50 174 3 0
20160915 111 79 100 4 0.9 42 172 4 1
20160916 172 130 125 4 1.1 39 187 5 1
20160917 57 40 0 2 0.8 37 49 6 1
20160918 42 23 22 2 0.6 33 18 7 0
20160919 44 12 29 2 0.4 35 74 1 0
20160920 59 21 44 3 0.5 47 95 2 0
20160921 97 68 117 5 1 77 44 3 0
20160922 137 104 129 7 1.1 59 113 4 0
20160923 168 127 172 3 1.2 49 182 5 0
20160924 156 119 203 4 1.1 54 174 6 1
20160925 211 161 193 4 1.5 49 96 7 1
20160926 80 59 109 2 1.2 46 61 1 0
20160927 33 23 29 2 0.6 24 59 2 0
20160928 50 16 38 3 0.4 40 58 3 0
20160929 75 53 90 5 0.7 60 95 4 0
20160930 135 103 138 7 0.9 76 145 5 0
