DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160201 40 13 24 9 0.6 32 68 1 0
20160202 62 29 40 16 0.9 49 55 2 0
20160203 69 35 48 19 1.2 55 43 3 0
20160204 36 13 24 8 0.5 23 71 4 0
20160205 38 10 32 6 0.4 16 76 5 0
20160206 45 31 45 14 0.8 36 70 6 0
20160207 69 50 85 23 0.9 38 74 7 1
20160208 238 188 263 53 1 37 74 1 1
20160209 60 43 53 20 1.1 41 82 2 1
20160210 128 97 115 50 2.5 65 50 3 1
20160211 202 152 168 42 3 68 26 4 1
20160212 192 144 100 18 2.2 54 41 5 1
20160213 34 9 14 5 0.3 12 68 6 1
20160214 36 7 16 3 0.4 11 72 7 0
20160215 46 7 46 4 0.3 14 71 1 0
20160216 38 8 36 5 0.3 18 76 2 0
20160217 64 46 44 16 1.1 48 73 3 0
20160218 42 14 32 5 0.4 22 83 4 0
20160219 40 15 33 5 0.5 26 79 5 0
20160220 40 16 24 6 0.5 22 79 6 1
20160221 108 81 107 26 1.5 57 55 7 1
20160222 92 68 74 16 1.1 40 80 1 0
20160223 41 11 18 5 0.4 17 81 2 0
20160224 49 26 49 9 0.7 35 70 3 0
20160225 45 25 44 10 0.7 36 61 4 0
20160226 55 36 60 14 0.8 40 69 5 0
20160227 45 22 35 9 0.6 36 71 6 1
20160228 48 31 48 7 0.8 33 79 7 1
20160229 53 35 47 12 0.7 42 70 1 0
