DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20180101 59 36 67 11 1.2 47 44 1 1
20180102 48 26 48 7 0.9 35 50 2 0
20180103 29 11 28 5 0.5 23 55 3 0
20180104 45 15 29 5 0.5 36 42 4 0
20180105 68 33 57 9 1 54 39 5 0
20180106 52 16 30 6 0.6 41 53 6 1
20180107 59 38 57 11 0.9 47 55 7 1
20180108 55 12 60 4 0.3 12 66 1 0
20180109 35 7 35 3 0.3 14 69 2 0
20180110 34 6 23 3 0.3 10 68 3 0
20180111 34 12 25 5 0.5 27 61 4 0
20180112 94 59 88 12 1.4 75 23 5 0
20180113 135 103 129 16 1.8 86 18 6 1
20180114 175 132 106 13 1.8 77 46 7 1
20180115 64 32 57 9 1 51 45 1 0
20180116 114 45 178 6 0.8 46 60 2 0
20180117 76 41 101 9 1.1 54 67 3 0
20180118 100 63 106 12 1.3 80 21 4 0
20180119 104 78 119 16 1.6 79 40 5 0
20180120 65 30 74 10 0.9 52 35 6 1
20180121 64 37 77 21 1.3 48 32 7 1
20180122 50 23 50 5 0.7 28 71 1 0
20180123 33 10 30 4 0.4 16 66 2 0
20180124 40 18 34 6 0.5 32 72 3 0
20180125 37 9 22 4 0.4 29 68 4 0
20180126 58 27 40 8 0.6 46 45 5 0
20180127 108 81 94 15 1.5 73 15 6 1
20180128 57 11 64 3 0.4 16 72 7 1
20180129 55 8 60 4 0.4 22 67 1 0
20180130 37 10 35 6 0.4 26 74 2 0
20180131 62 21 73 7 0.5 32 71 3 0
