DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20141101 78 57 86 6 1.1 49 49 6 1
20141102 29 7 25 4 0.3 23 57 7 1
20141103 52 24 54 5 0.7 44 69 1 0
20141104 124 94 134 16 1.4 70 41 2 0
20141105 102 76 98 7 1.2 51 59 3 0
20141106 32 9 20 3 0.3 21 63 4 0
20141107 59 42 68 13 1.2 48 25 5 0
20141108 90 67 85 10 1.4 55 52 6 1
20141109 79 58 78 7 1.1 57 55 7 1
20141110 91 68 87 9 1.3 67 37 1 0
20141111 58 34 67 4 0.7 31 52 2 0
20141112 41 5 41 3 0.2 10 68 3 0
20141113 45 22 45 7 0.7 47 60 4 0
20141114 55 33 60 15 1 57 38 5 0
20141115 122 93 137 31 2 84 8 6 1
20141116 100 75 109 16 1.6 55 51 7 1
20141117 41 22 41 14 0.7 45 51 1 0
20141118 76 55 93 28 1.7 69 16 2 0
20141119 268 218 285 44 3.3 123 6 3 0
20141120 342 292 360 29 3.7 136 8 4 0
20141121 237 187 239 21 2.8 111 27 5 0
20141122 52 31 54 14 0.8 55 37 6 1
20141123 155 118 166 22 2.4 91 9 7 1
20141124 100 75 112 16 1.8 72 35 1 0
20141125 180 136 178 28 2.5 94 15 2 0
20141126 282 232 288 38 3.6 120 6 3 0
20141127 97 73 108 12 1.2 57 41 4 0
20141128 105 79 147 22 1.6 72 26 5 0
20141129 267 217 297 19 3.4 92 6 6 1
20141130 146 89 241 9 1.3 40 55 7 1
