DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20140401 137 104 117 17 0.9 60 125 2 0
20140402 130 99 159 21 1 58 135 3 0
20140403 65 23 80 6 0.5 36 93 4 0
20140404 91 32 132 8 0.6 40 100 5 0
20140405 65 22 80 6 0.4 29 100 6 1
20140406 96 53 143 12 0.7 58 109 7 1
20140407 128 97 176 20 0.8 62 144 1 1
20140408 224 174 237 38 1.5 82 184 2 0
20140409 159 121 239 19 0.9 50 145 3 0
20140410 251 87 386 27 1.3 52 94 4 0
20140411 81 60 112 17 1 60 94 5 0
20140412 131 100 136 25 1.4 75 136 6 1
20140413 207 157 190 25 1.3 71 194 7 1
20140414 279 229 263 33 1.9 79 188 1 0
20140415 120 91 142 16 1 61 130 2 0
20140416 82 51 113 12 0.7 68 80 3 0
20140417 120 91 124 19 1.4 71 101 4 0
20140418 183 138 124 17 1.5 65 115 5 0
20140419 83 61 84 15 0.8 65 87 6 1
20140420 81 60 80 7 0.6 54 99 7 1
20140421 67 48 79 7 0.6 56 107 1 0
20140422 86 58 101 9 0.6 54 143 2 0
20140423 151 116 147 21 0.9 41 145 3 0
20140424 151 115 133 19 0.9 47 140 4 0
20140425 171 129 190 20 1 69 153 5 0
20140426 66 37 82 4 0.4 28 86 6 1
20140427 73 51 93 6 0.6 48 127 7 1
20140428 84 61 98 8 0.7 49 141 1 0
20140429 118 89 143 17 0.9 68 175 2 0
20140430 136 103 158 19 1 67 200 3 0
