DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150901 34 11 20 2 0.5 20 67 2 0
20150902 44 10 19 2 0.4 20 87 3 0
20150903 74 15 30 2 0.5 19 128 4 1
20150904 64 46 0 3 1.5 26 101 5 1
20150905 44 18 20 2 0.7 23 88 6 1
20150906 63 17 34 2 0.5 30 115 7 0
20150907 84 25 44 3 0.7 38 140 1 0
20150908 104 52 82 6 0.9 53 164 2 0
20150909 50 32 50 3 0.7 40 94 3 0
20150910 37 8 14 2 0.4 29 41 4 0
20150911 35 9 16 2 0.4 26 69 5 0
20150912 34 9 24 2 0.4 27 68 6 1
20150913 57 20 51 3 0.6 45 105 7 1
20150914 89 66 105 10 0.9 58 145 1 0
20150915 140 105 134 13 1.2 62 204 2 0
20150916 169 128 152 8 1.2 62 180 3 0
20150917 201 151 166 10 1.3 69 181 4 0
20150918 102 76 77 3 0.9 49 110 5 0
20150919 69 23 51 3 0.6 55 95 6 1
20150920 114 86 112 9 1 51 146 7 1
20150921 133 101 134 17 1.3 67 176 1 0
20150922 179 135 0 10 1.5 60 108 2 0
20150923 57 32 60 2 0.7 45 98 3 0
20150924 124 94 102 4 1.2 53 121 4 0
20150925 49 22 44 3 0.6 39 82 5 0
20150926 74 34 72 7 0.7 48 128 6 1
20150927 73 48 85 3 0.7 58 113 7 1
20150928 68 49 62 4 1.3 46 59 1 0
20150929 62 44 0 3 1.1 45 20 2 0
20150930 48 30 0 3 0.7 38 48 3 0
