DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170801 89 66 82 2 0.9 30 143 2 0
20170802 55 33 59 4 1.1 25 89 3 0
20170803 90 22 62 2 0.6 20 148 4 0
20170804 107 21 45 3 0.6 38 167 5 0
20170805 131 27 58 3 0.6 34 194 6 1
20170806 78 17 37 2 0.5 31 133 7 1
20170807 88 11 37 2 0.4 31 145 1 0
20170808 155 29 70 3 0.7 39 220 2 0
20170809 98 24 43 2 0.6 27 157 3 0
20170810 123 64 91 2 0.8 33 185 4 0
20170811 117 88 129 2 1.1 38 135 5 0
20170812 48 32 39 2 0.8 38 83 6 1
20170813 57 40 51 2 0.9 37 96 7 1
20170814 91 28 43 2 0.8 27 149 1 0
20170815 103 55 78 5 0.9 32 163 2 0
20170816 80 55 67 2 0.9 37 136 3 0
20170817 90 22 40 2 0.7 28 148 4 0
20170818 73 53 76 3 1.2 55 119 5 0
20170819 70 42 54 2 1 33 123 6 1
20170820 95 60 73 3 1.2 38 153 7 1
20170821 130 72 98 2 1 39 193 1 0
20170822 97 72 0 2 0.9 35 94 2 0
20170823 55 20 34 2 0.7 28 106 3 0
20170824 50 14 43 2 0.5 40 79 4 0
20170825 49 10 38 3 0.4 39 77 5 0
20170826 60 15 56 3 0.5 48 51 6 1
20170827 38 17 30 2 0.5 28 75 7 1
20170828 35 19 29 2 0.5 28 66 1 0
20170829 51 17 51 4 0.5 37 84 2 0
20170830 88 52 87 4 0.8 44 145 3 0
20170831 110 83 103 2 0.9 35 115 4 0
