DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160101 226 176 199 33 3.4 106 12 5 1
20160102 316 266 299 35 4.6 124 16 6 1
20160103 297 247 296 20 3.5 83 22 7 1
20160104 53 37 23 6 0.9 33 59 1 0
20160105 63 34 76 11 0.9 38 50 2 0
20160106 44 25 40 10 0.9 35 54 3 0
20160107 35 13 22 6 0.6 28 54 4 0
20160108 54 35 55 13 0.9 43 51 5 0
20160109 102 76 102 23 1.9 74 26 6 1
20160110 69 46 61 20 1.5 55 35 7 1
20160111 32 11 22 6 0.6 25 59 1 0
20160112 38 14 27 8 0.7 30 55 2 0
20160113 62 26 48 14 1 49 47 3 0
20160114 98 73 98 27 1.9 73 40 4 0
20160115 132 100 127 33 2.6 84 25 5 0
20160116 162 123 137 44 2.5 71 15 6 1
20160117 53 37 25 9 0.8 29 68 7 1
20160118 45 10 45 4 0.5 18 62 1 0
20160119 84 62 90 23 1.7 62 39 2 0
20160120 153 117 141 56 3.4 78 11 3 0
20160121 173 131 130 28 2.7 68 12 4 0
20160122 33 13 33 4 0.6 16 65 5 0
20160123 47 9 47 4 0.6 12 63 6 1
20160124 47 13 47 6 0.6 24 60 7 1
20160125 54 28 48 17 0.8 43 50 1 0
20160126 56 35 62 18 0.8 37 58 2 0
20160127 129 98 112 38 2.2 79 27 3 0
20160128 159 121 139 44 2.3 80 37 4 0
20160129 84 62 80 36 1.8 55 28 5 0
20160130 69 50 65 21 1.3 48 40 6 1
20160131 38 18 26 10 0.6 30 66 7 1
