DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160601 108 37 73 6 0.7 42 168 3 0
20160602 156 53 88 9 0.8 51 221 4 0
20160603 160 82 125 21 1.2 61 225 5 0
20160604 179 87 127 16 0.9 38 244 6 1
20160605 161 71 98 14 0.9 38 226 7 1
20160606 189 87 119 7 0.9 32 254 1 0
20160607 127 60 0 2 0.8 25 189 2 0
20160608 170 129 129 3 1.2 36 223 3 0
20160609 153 106 140 7 1 33 218 4 1
20160610 123 52 32 2 0.6 20 185 5 1
20160611 64 12 30 2 0.4 25 116 6 1
20160612 146 71 100 7 1 33 210 7 0
20160613 96 47 0 2 0.6 28 155 1 0
20160614 50 35 44 2 0.6 26 95 2 0
20160615 92 19 40 2 0.5 30 150 3 0
20160616 90 26 59 2 0.6 47 148 4 0
20160617 59 24 56 2 0.6 47 103 5 0
20160618 145 42 72 4 0.7 44 209 6 1
20160619 149 65 98 5 0.8 39 213 7 1
20160620 166 85 101 5 1 28 231 1 0
20160621 175 85 89 2 0.9 30 240 2 0
20160622 150 56 85 2 0.7 32 214 3 0
20160623 117 76 102 6 1.1 38 178 4 0
20160624 70 13 30 2 0.6 30 123 5 0
20160625 59 18 38 2 0.4 32 110 6 1
20160626 140 41 77 5 0.5 42 203 7 1
20160627 98 60 88 7 0.7 39 157 1 0
20160628 98 73 0 2 0.7 32 118 2 0
20160629 145 111 0 2 0.9 33 166 3 0
20160630 130 60 57 2 0.7 33 192 4 0
