DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160401 93 35 135 6 0.4 26 95 5 0
20160402 43 9 28 3 0.2 16 86 6 1
20160403 52 20 54 3 0.3 26 93 7 1
20160404 103 77 114 12 0.6 48 121 1 1
20160405 148 113 146 19 1 52 142 2 0
20160406 192 144 182 30 2 71 96 3 0
20160407 108 81 112 4 1 43 90 4 0
20160408 71 25 92 5 0.4 32 97 5 0
20160409 148 73 245 11 0.7 55 95 6 1
20160410 121 54 192 13 0.8 43 95 7 1
20160411 77 41 103 9 0.6 42 89 1 0
20160412 105 79 104 6 0.8 58 76 2 0
20160413 158 120 134 7 1 64 104 3 0
20160414 76 32 101 4 0.3 28 108 4 0
20160415 80 59 107 16 1 58 91 5 0
20160416 0 0 0 0 0 0 0 6 1
20160417 46 16 35 2 0.3 16 91 7 1
20160418 50 19 39 3 0.3 25 100 1 0
20160419 98 73 104 20 1.3 65 64 2 0
20160420 92 68 102 8 0.9 44 121 3 0
20160421 127 96 165 7 0.9 58 124 4 0
20160422 74 33 97 2 0.3 23 108 5 0
20160423 54 23 58 4 0.3 30 97 6 1
20160424 113 85 149 22 0.9 53 152 7 1
20160425 119 90 141 14 0.7 34 172 1 0
20160426 95 71 124 26 1.4 44 141 2 0
20160427 120 91 134 9 1.1 62 115 3 0
20160428 122 81 100 7 1 49 184 4 0
20160429 168 127 160 17 1.4 65 185 5 0
20160430 209 159 168 10 1.4 58 232 6 1
