DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160301 158 120 136 30 1.9 85 50 2 0
20160302 212 162 190 32 2.5 110 62 3 0
20160303 333 283 283 46 3.5 119 50 4 0
20160304 365 315 414 47 4.3 113 22 5 0
20160305 170 58 290 3 0.4 23 78 6 1
20160306 116 73 182 28 1.6 68 41 7 1
20160307 70 34 89 10 0.9 33 84 1 0
20160308 39 10 25 3 0.4 16 77 2 0
20160309 37 10 26 4 0.4 16 73 3 0
20160310 49 11 49 4 0.4 18 75 4 0
20160311 51 24 52 8 0.6 36 76 5 0
20160312 144 110 138 40 1.8 82 44 6 1
20160313 48 30 48 9 0.6 32 92 7 1
20160314 103 77 118 21 1.3 64 72 1 0
20160315 190 143 198 47 1.6 79 56 2 0
20160316 300 250 261 38 2.2 89 120 3 0
20160317 338 288 298 31 2.3 103 106 4 0
20160318 227 177 55 12 1.4 64 112 5 0
20160319 88 65 113 17 1 44 76 6 1
20160320 89 66 113 10 1 62 86 7 1
20160321 163 124 179 21 1.2 80 116 1 0
20160322 138 105 207 25 1.4 75 68 2 0
20160323 43 16 37 4 0.5 26 85 3 0
20160324 44 13 24 3 0.4 31 87 4 0
20160325 48 17 38 4 0.5 38 89 5 0
20160326 45 12 29 4 0.4 27 90 6 1
20160327 47 17 47 4 0.4 35 92 7 1
20160328 123 70 195 16 0.8 66 77 1 0
20160329 62 19 74 5 0.4 33 96 2 0
20160330 63 30 76 9 0.6 42 93 3 0
20160331 199 149 239 33 1.4 73 118 4 0
