DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150607 43 14 32 4 2.6 30 86 7 1
20150608 69 18 35 4 0.5 35 123 1 0
20150609 134 49 87 15 1.1 49 197 2 0
20150610 100 75 74 4 1.1 34 154 3 0
20150611 48 20 25 3 0.6 21 96 4 0
20150612 44 8 22 3 0.4 22 87 5 0
20150613 65 11 27 3 0.4 18 118 6 1
20150614 98 19 37 3 0.5 29 158 7 1
20150615 166 85 121 15 1.2 40 231 1 0
20150616 177 104 144 12 1.2 50 242 2 0
20150617 126 42 67 3 0.8 36 189 3 0
20150618 53 19 32 2 0.5 28 103 4 0
20150619 35 14 33 2 0.5 24 70 5 0
20150620 103 23 39 2 0.6 37 163 6 1
20150621 137 41 73 5 0.6 39 201 7 1
20150622 163 90 117 16 1.1 38 228 1 1
20150623 231 181 178 15 1.7 39 238 2 0
20150624 159 121 123 9 1.1 43 190 3 0
20150625 164 125 111 6 1 51 128 4 0
20150626 139 106 23 2 0.9 24 200 5 0
20150627 120 89 51 4 0.8 32 182 6 1
20150628 197 148 57 8 1.2 34 219 7 1
20150629 154 118 39 5 1.1 42 178 1 0
20150630 52 15 20 2 0.4 27 102 2 0
