DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20160801 109 71 100 3 1.3 30 169 1 0
20160802 96 49 58 2 1 31 155 2 0
20160803 153 59 80 3 1 35 218 3 0
20160804 155 101 114 2 1.4 33 220 4 0
20160805 103 66 88 3 0.8 29 163 5 0
20160806 129 98 96 2 1 32 162 6 1
20160807 69 20 34 2 0.6 19 122 7 1
20160808 95 32 48 3 0.8 26 154 1 0
20160809 135 46 70 6 1.2 37 198 2 0
20160810 112 84 97 3 0.9 27 158 3 0
20160811 114 86 100 3 0.9 29 156 4 0
20160812 79 58 73 4 0.9 38 72 5 0
20160813 50 22 35 3 0.7 40 45 6 1
20160814 104 22 48 3 0.6 38 164 7 1
20160815 45 20 42 2 0.6 29 89 1 0
20160816 96 24 41 2 0.6 32 155 2 0
20160817 87 64 0 3 1 58 47 3 0
20160818 99 74 0 2 1.6 42 43 4 0
20160819 67 19 42 2 0.9 25 120 5 0
20160820 134 54 70 2 1 38 197 6 1
20160821 179 54 74 3 1 40 244 7 1
20160822 103 50 66 4 0.9 32 163 1 0
20160823 95 71 91 6 0.9 42 135 2 0
20160824 109 82 110 3 1.1 48 133 3 0
20160825 34 17 23 2 0.4 24 67 4 0
20160826 45 11 29 2 0.4 33 90 5 0
20160827 48 15 39 3 0.4 38 81 6 1
20160828 46 12 32 2 0.3 34 92 7 1
20160829 66 19 47 3 0.5 45 119 1 0
20160830 109 30 65 3 0.6 48 169 2 0
20160831 50 16 37 3 0.5 40 88 3 0
