DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20151001 33 14 29 2 0.3 25 65 4 1
20151002 59 30 68 3 0.6 47 88 5 1
20151003 62 28 69 4 0.7 49 85 6 1
20151004 149 114 155 10 1.3 77 125 7 1
20151005 272 222 244 9 1.7 80 180 1 1
20151006 343 293 327 7 2 84 200 2 1
20151007 310 260 83 8 1.8 76 128 3 1
20151008 35 11 28 2 0.3 23 70 4 0
20151009 39 16 39 3 0.4 29 64 5 0
20151010 27 8 23 2 0.3 17 54 6 0
20151011 37 10 25 2 0.3 21 73 7 1
20151012 60 18 47 3 0.5 48 70 1 0
20151013 84 35 73 6 0.8 67 68 2 0
20151014 135 103 147 16 2 96 66 3 0
20151015 143 109 147 9 1.4 91 123 4 0
20151016 253 203 236 13 2.1 111 159 5 0
20151017 344 294 0 13 2.5 119 97 6 1
20151018 64 46 68 7 0.8 41 50 7 1
20151019 78 57 103 6 0.9 61 46 1 0
20151020 99 74 113 9 1.4 65 15 2 0
20151021 70 51 77 2 0.9 41 28 3 0
20151022 54 29 49 2 0.7 43 25 4 0
20151023 74 54 77 3 0.9 53 45 5 0
20151024 75 55 76 6 1 53 51 6 1
20151025 74 37 84 10 0.9 59 23 7 1
20151026 63 28 75 2 0.5 29 51 1 0
20151027 48 15 48 3 0.5 37 52 2 0
20151028 30 8 20 3 0.3 24 57 3 0
20151029 30 7 22 3 0.3 20 59 4 0
20151030 58 25 52 4 0.7 46 44 5 0
20151031 73 43 70 5 0.8 58 42 6 1
