DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20170901 185 139 157 3 1.5 41 140 5 0
20170902 135 103 93 3 1.1 34 137 6 1
20170903 97 58 82 4 0.8 32 156 7 1
20170904 115 87 110 4 0.9 36 148 1 0
20170905 56 39 62 3 0.7 37 83 2 0
20170906 65 16 50 3 0.5 41 118 3 0
20170907 140 48 105 3 0.8 49 203 4 0
20170908 180 117 152 4 1.2 43 245 5 0
20170909 133 101 118 7 1.8 34 169 6 1
20170910 122 92 112 4 1.2 43 83 7 1
20170911 50 18 38 2 0.5 40 87 1 0
20170912 66 22 61 2 0.5 45 119 2 0
20170913 120 73 128 6 1.1 59 182 3 0
20170914 112 84 121 5 1 51 157 4 0
20170915 80 59 100 4 0.9 63 117 5 0
20170916 120 91 124 4 1.1 63 150 6 1
20170917 45 11 38 3 0.4 36 86 7 1
20170918 75 23 74 3 0.6 58 130 1 0
20170919 58 12 48 3 0.5 46 81 2 0
20170920 62 14 57 3 0.4 49 89 3 0
20170921 99 58 122 8 1 79 134 4 0
20170922 72 24 94 2 0.5 41 81 5 0
20170923 121 50 192 7 0.9 75 101 6 1
20170924 104 64 158 4 1 62 141 7 1
20170925 103 77 130 8 1.5 47 131 1 0
20170926 65 47 68 2 0.7 43 55 2 0
20170927 62 28 61 4 1 49 28 3 0
20170928 39 10 39 4 0.3 30 64 4 0
20170929 92 45 102 5 0.8 73 65 5 0
20170930 147 112 152 5 1.2 69 110 6 0
