DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20141001 89 66 77 4 1 57 24 3 1
20141002 74 55 51 4 1 46 39 4 1
20141003 118 89 108 4 1.6 52 19 5 1
20141004 100 75 48 2 1.1 39 52 6 1
20141005 42 30 40 2 0.7 30 67 7 1
20141006 50 25 50 3 0.5 47 69 1 1
20141007 185 140 181 12 1.3 86 83 2 1
20141008 309 259 292 10 2.1 102 54 3 0
20141009 381 331 353 6 2.3 92 74 4 0
20141010 350 300 269 13 2.4 85 101 5 0
20141011 240 190 126 7 1.8 61 68 6 0
20141012 28 6 9 3 0.2 22 55 7 1
20141013 31 13 31 4 0.3 34 54 1 0
20141014 69 43 88 8 0.7 61 57 2 0
20141015 75 43 99 4 0.6 44 67 3 0
20141016 72 34 94 8 0.6 55 72 4 0
20141017 123 94 176 11 1.2 104 58 5 0
20141018 202 152 229 17 2 115 115 6 1
20141019 293 243 313 12 2.5 119 58 7 1
20141020 248 198 212 5 1.6 74 56 1 0
20141021 66 34 81 19 1.2 57 30 2 0
20141022 95 71 136 11 1.3 75 9 3 0
20141023 155 118 176 13 1.5 85 24 4 0
20141024 267 217 265 11 2.1 88 69 5 0
20141025 341 291 327 6 2.4 87 79 6 1
20141026 80 59 62 3 0.7 40 63 7 1
20141027 56 25 61 11 0.7 52 40 1 0
20141028 81 60 106 12 1 69 33 2 0
20141029 138 105 161 13 1.3 89 41 3 0
20141030 205 155 194 17 1.7 99 24 4 0
20141031 202 152 180 10 2.1 89 14 5 0
