DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20150701 41 18 38 3 0.4 34 82 3 0
20150702 46 8 20 4 0.3 28 92 4 0
20150703 116 24 60 11 0.9 34 178 5 0
20150704 92 33 59 6 0.7 45 150 6 1
20150705 160 62 71 9 1 36 225 7 1
20150706 156 69 76 10 1.1 33 221 1 0
20150707 160 67 86 7 0.9 32 225 2 0
20150708 175 125 132 8 1.1 35 240 3 0
20150709 172 72 92 11 0.8 37 237 4 0
20150710 145 50 82 9 0.7 32 210 5 0
20150711 181 103 126 10 1.1 35 246 6 1
20150712 200 108 158 5 0.9 46 267 7 1
20150713 176 49 84 3 0.6 43 241 1 0
20150714 147 35 65 4 0.6 30 212 2 0
20150715 85 34 62 3 0.6 47 142 3 0
20150716 54 37 47 2 0.7 29 105 4 0
20150717 50 35 43 2 0.8 32 91 5 0
20150718 78 47 30 2 0.8 26 134 6 1
20150719 89 66 33 2 0.9 32 124 7 1
20150720 118 89 144 2 0.9 33 142 1 0
20150721 176 133 0 2 1.1 33 151 2 0
20150722 110 62 55 2 0.7 35 171 3 0
20150723 70 41 54 2 0.8 48 123 4 0
20150724 138 50 77 2 0.9 46 201 5 0
20150725 158 90 108 3 1 38 223 6 1
20150726 151 104 123 4 1 33 216 7 1
20150727 130 75 133 3 0.9 33 192 1 0
20150728 109 52 76 2 0.8 30 169 2 0
20150729 138 86 55 2 0.9 35 201 3 0
20150730 75 44 52 2 0.9 28 129 4 0
20150731 85 26 41 2 0.7 26 142 5 0
