DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20161001 220 170 202 11 1.3 86 118 6 1
20161002 233 183 201 6 1.4 72 132 7 1
20161003 159 121 140 3 1.1 58 132 1 1
20161004 47 31 44 3 1.1 37 34 2 1
20161005 83 61 91 2 1.2 42 57 3 1
20161006 95 71 0 4 1.6 48 11 4 1
20161007 55 39 17 2 1.6 43 15 5 1
20161008 33 13 29 2 0.5 26 60 6 0
20161009 67 33 64 4 0.7 53 33 7 0
20161010 122 92 127 10 1.2 79 31 1 0
20161011 149 114 130 8 1.4 65 62 2 0
20161012 107 80 102 6 1.2 64 51 3 0
20161013 206 156 189 5 1.6 75 78 4 0
20161014 292 242 258 6 2 93 73 5 0
20161015 236 186 226 4 1.9 88 4 6 1
20161016 153 117 137 3 1 58 55 7 1
20161017 85 63 101 2 0.9 53 61 1 0
20161018 160 122 158 6 1.8 72 10 2 0
20161019 278 228 228 5 2.3 83 38 3 0
20161020 115 87 0 6 1.4 54 27 4 0
20161021 60 43 0 2 0.8 39 33 5 0
20161022 38 15 25 2 0.6 30 36 6 1
20161023 55 28 52 4 0.6 44 38 7 1
20161024 87 64 113 3 1.2 58 4 1 0
20161025 133 101 135 3 1.5 74 8 2 0
20161026 69 42 88 4 0.8 50 46 3 0
20161027 63 30 66 5 1 50 11 4 0
20161028 38 11 29 2 0.4 30 58 5 0
20161029 59 26 62 4 0.6 47 42 6 1
20161030 66 44 81 5 0.8 42 54 7 1
20161031 29 9 25 4 0.3 19 57 1 0
